"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.911556800E-1,1.459621787E-1,-7.178467698E-3,9.777372360E0,9.778464438E0
1.935626590E-1,1.531406492E-1,7.178467698E-3,9.789336205E0,9.790536600E0
1.959696900E-1,1.316052526E-1,1.435693540E-2,9.820742607E0,9.821634865E0
1.983766690E-1,1.220339537E-1,2.871387079E-2,9.847063065E0,9.847861076E0
2.007836490E-1,1.292124242E-1,3.110669367E-2,9.839884758E0,9.840782262E0
2.031906280E-1,1.387837082E-1,1.435693540E-2,9.851848602E0,9.852836542E0
2.055976590E-1,1.100698411E-1,2.153540403E-2,9.863813400E0,9.864451021E0
2.080046380E-1,1.148554832E-1,3.110669367E-2,9.885348320E0,9.886064476E0
2.104116170E-1,1.004985496E-1,1.674975827E-2,9.902098656E0,9.902622799E0
2.128185970E-1,1.052841991E-1,1.435693540E-2,9.880562782E0,9.881134134E0
2.152256280E-1,1.100698411E-1,7.178467698E-3,9.851848602E0,9.852466076E0
2.176326070E-1,1.124626622E-1,1.674975827E-2,9.842277527E0,9.842934284E0
2.200395860E-1,1.148554832E-1,2.153540403E-2,9.827920914E0,9.828615622E0
2.224465650E-1,1.148554832E-1,3.110669367E-2,9.823135376E0,9.823856067E0
2.248535970E-1,1.100698411E-1,4.067798331E-2,9.818050385E0,9.818751622E0
2.272605760E-1,1.028913707E-1,4.307080805E-2,9.810872078E0,9.811506136E0
2.296675550E-1,1.052841991E-1,4.546362907E-2,9.823135376E0,9.823804778E0
2.320745340E-1,9.810572863E-2,4.307080805E-2,9.830313683E0,9.830897565E0
2.344815650E-1,1.004985496E-1,3.828516230E-2,9.847063065E0,9.847650314E0
2.368885440E-1,1.124626622E-1,5.503492057E-2,9.859027863E0,9.859822873E0
2.392955240E-1,1.148554832E-1,6.939185411E-2,9.863813400E0,9.864726139E0
2.417025030E-1,1.124626622E-1,4.546362907E-2,9.854242325E0,9.854988919E0
2.441095340E-1,1.268195957E-1,3.589234129E-2,9.844670296E0,9.845552534E0
2.465165130E-1,1.244267747E-1,3.349951655E-2,9.842277527E0,9.843121007E0
2.489234920E-1,1.363908947E-1,4.307080805E-2,9.844670296E0,9.845709258E0
2.513304720E-1,1.483550072E-1,2.392822690E-2,9.810872078E0,9.812022865E0
2.537375030E-1,1.531406492E-1,2.153540403E-2,9.786943436E0,9.788165183E0
2.561444820E-1,1.483550072E-1,3.110669367E-2,9.786943436E0,9.788117217E0
2.585514610E-1,1.316052526E-1,3.110669367E-2,9.794121742E0,9.795055297E0
2.609584400E-1,1.172483116E-1,2.392822690E-2,9.796515465E0,9.797246296E0
2.633654720E-1,1.339980662E-1,4.546362907E-2,9.784550667E0,9.785573779E0
2.657724510E-1,1.292124242E-1,4.307080805E-2,9.779765129E0,9.780713518E0
2.681794300E-1,1.172483116E-1,4.546362907E-2,9.784550667E0,9.785358750E0
2.705864090E-1,1.172483116E-1,5.503492057E-2,9.810872078E0,9.811727011E0
2.729934400E-1,1.196411327E-1,3.589234129E-2,9.825528145E0,9.826322078E0
2.754004190E-1,1.196411327E-1,5.742774159E-2,9.849455833E0,9.850349850E0
2.778073990E-1,1.172483116E-1,4.785645381E-2,9.861420631E0,9.862233737E0
2.802143780E-1,1.148554832E-1,5.742774159E-2,9.866206169E0,9.867041801E0
2.826214090E-1,1.028913707E-1,5.264209956E-2,9.837491989E0,9.838170890E0
2.850283880E-1,1.004985496E-1,4.546362907E-2,9.815657616E0,9.816277366E0
2.874353670E-1,1.004985496E-1,2.871387079E-2,9.801301003E0,9.801858282E0
2.898423470E-1,1.076770201E-1,5.742774159E-2,9.765408516E0,9.766170988E0
2.922493780E-1,1.004985496E-1,4.067798331E-2,9.741479874E0,9.742083185E0
2.946563570E-1,9.332008660E-2,3.110669367E-2,9.719944954E0,9.720442694E0
2.970633360E-1,9.810572863E-2,4.785645381E-2,9.727123260E0,9.727735703E0
2.994703150E-1,1.028913707E-1,5.024927482E-2,9.755837440E0,9.756509406E0
3.018773470E-1,1.100698411E-1,6.460621208E-2,9.777372360E0,9.778205337E0
3.042843260E-1,1.196411327E-1,7.178468257E-2,9.774979591E0,9.775975299E0
3.066913050E-1,1.172483116E-1,7.417750359E-2,9.784550667E0,9.785534284E0
3.090982840E-1,1.316052526E-1,7.896314561E-2,9.808479309E0,9.809679989E0
3.115053150E-1,1.316052526E-1,7.178468257E-2,9.801301003E0,9.802447364E0
3.139122940E-1,1.435693651E-1,5.024927482E-2,9.798908234E0,9.800088761E0
3.163192740E-1,1.196411327E-1,3.828516230E-2,9.806086540E0,9.806891097E0
3.187262530E-1,1.268195957E-1,4.067798331E-2,9.791728973E0,9.792634691E0
